id	url	source	notes
1	https://job-boards.greenhouse.io/anthropic/jobs/5121563008	pipeline	Anthropic | Forward Deployed Engineer, Applied AI
2	https://job-boards.greenhouse.io/anthropic/jobs/5121561008	pipeline	Anthropic | Forward Deployed Engineer, Applied AI
3	https://job-boards.greenhouse.io/anthropic/jobs/4985877008	pipeline	Anthropic | Forward Deployed Engineer, Applied AI
4	https://job-boards.greenhouse.io/anthropic/jobs/5012991008	pipeline	Anthropic | Forward Deployed Engineer, Applied AI
5	https://job-boards.greenhouse.io/anthropic/jobs/5079562008	pipeline	Anthropic | Forward Deployed Engineer, Applied AI (Federal Civilian)
6	https://job-boards.greenhouse.io/anthropic/jobs/5014500008	pipeline	Anthropic | Applied AI Engineer
7	https://job-boards.greenhouse.io/anthropic/jobs/5055488008	pipeline	Anthropic | Applied AI Engineer
8	https://job-boards.greenhouse.io/anthropic/jobs/5116274008	pipeline	Anthropic | Applied AI Engineer
9	https://job-boards.greenhouse.io/anthropic/jobs/5068226008	pipeline	Anthropic | Applied AI Engineer, Beneficial Deployments
10	https://job-boards.greenhouse.io/anthropic/jobs/5073277008	pipeline	Anthropic | Applied AI Engineer (Startups)
11	https://job-boards.greenhouse.io/anthropic/jobs/5133449008	pipeline	Anthropic | Finance Systems, Program Manager - Quote-to-cash
12	https://job-boards.eu.greenhouse.io/polyai/jobs/4796935101	pipeline	PolyAI | Forward Deployed AI Engineer
13	https://job-boards.eu.greenhouse.io/polyai/jobs/4802138101	pipeline	PolyAI | Agent Designer
14	https://job-boards.eu.greenhouse.io/polyai/jobs/4831089101	pipeline	PolyAI | Agent Design Manager
15	https://job-boards.eu.greenhouse.io/parloa/jobs/4694431101	pipeline	Parloa | Forward Deployed Engineer, DevOps
16	https://job-boards.eu.greenhouse.io/parloa/jobs/4694390101	pipeline	Parloa | Forward Deployed Engineer, DevOps
17	https://job-boards.eu.greenhouse.io/parloa/jobs/4799672101	pipeline	Parloa | Forward Deployed Engineer, VoIP
18	https://job-boards.eu.greenhouse.io/parloa/jobs/4825141101	pipeline	Parloa | Forward Deployed Engineer, VoIP
19	https://job-boards.eu.greenhouse.io/parloa/jobs/4751509101	pipeline	Parloa | Senior Forward Deployed Engineer
20	https://job-boards.eu.greenhouse.io/parloa/jobs/4747267101	pipeline	Parloa | Senior Forward Deployed Engineer - UK
21	https://job-boards.eu.greenhouse.io/parloa/jobs/4604587101	pipeline	Parloa | Senior/Lead Forward Deployed Engineer - US
22	https://job-boards.eu.greenhouse.io/parloa/jobs/4566280101	pipeline	Parloa | Lead AI Agent Architect
23	https://job-boards.eu.greenhouse.io/parloa/jobs/4766701101	pipeline	Parloa | (Senior) AI Agent Architect
24	https://job-boards.eu.greenhouse.io/parloa/jobs/4782800101	pipeline	Parloa | Senior AI Agent Architect
25	https://job-boards.eu.greenhouse.io/parloa/jobs/4823910101	pipeline	Parloa | Senior Agent Architect
